dataset,run_name,status,n_rows,cvar95_combined_nll,mean_combined_nll,cvar95_tl_color_nll,cvar95_tl_confidence_nll,mean_tl_discrepancy,mean_tl_discrepancy_residual,permanent_stop_rel_s,likely_static_collision,mrm_first_trigger_rel_s
nom_v11,goal_011_t2_20260722_150542,goal_reached,1328,-16.54046004565794,-19.560848733028735,1.5010727706240183,1.6709131723019615,0.038403614457831324,0.06547179336641239,,False,1.201592206954956
nom_v11,goal_012_t1_20260722_163948,goal_reached,2946,-14.635954805322596,-20.075827162523133,2.2127607931961886,2.498640613378705,0.10285132382892057,0.04784043345542339,,False,
nom_v11,goal_012_t2_20260722_164614,goal_reached,2629,-14.396932580254294,-19.390113567934147,2.4961256601593713,2.2229023774464927,0.1091669836439711,0.05201850489300998,,False,
nom_v11,goal_013_t1_20260722_140535,goal_reached,918,-8.628388386705648,-18.748829498919527,1.6062543210775957,1.0153262705906578,0.1568627450980392,0.05725116200275513,,False,16.104657649993896
nom_v11,goal_014_t1_20260722_140810,goal_reached,686,-15.821658379690987,-18.6882789878734,0.2787688374519348,1.3221835442951748,0.2944606413994169,0.11286978774571821,,False,19.5022976398468
nom_v11,goal_015_t1_20260722_141005,goal_reached,1047,-16.112775712643028,-19.15349894836047,0.5644058343374504,1.1157764786819242,0.1833810888252149,0.10692714663693,,False,1.7276759147644043
nom_v11,goal_016_t1_20260722_141240,goal_reached,1038,-15.878082440449642,-18.88236805744943,1.850399347452017,1.7161511480808258,0.21676300578034682,0.09383836003939247,,False,8.400701522827148
nom_v11,goal_017_t1_20260722_141556,goal_reached,796,-11.014681118726731,-18.021887147546412,8.006121461093425,13.29170689433813,0.24371859296482412,0.10156750815615362,,False,2.3965399265289307
nom_v11,goal_018_t1_20260722_141802,goal_reached,1478,-16.514947478835648,-19.72542828958638,1.9331838802711383,2.0801114713823474,0.09269282814614344,0.052403733782878506,,False,3.3962748050689697
nom_v11,goal_019_t1_20260722_142131,goal_reached,1328,-15.045601830553652,-18.97497398163899,1.2259952657258333,1.328655703743892,0.17846385542168675,0.08721722379916615,,False,0.6204919815063477
nom_v11,goal_020_t1_20260722_142441,goal_reached,1138,-8.34913694858551,-18.731557352995413,6.734344595356991,10.394903262456259,0.13620386643233742,0.0478611323129133,,False,3.1895511150360107
nom_v11,goal_021_t1_20260722_142727,goal_reached,1258,-15.68838560013544,-18.845642045116577,0.939830183716757,2.0866378517377946,0.11446740858505565,0.0664413451551624,,False,17.601069927215576
nom_v11,goal_022_t1_20260722_143029,goal_reached,1238,-15.168434773722003,-18.71967392630261,2.696823148477462,2.5001918567765142,0.2875605815831987,0.13798613240946253,,False,1.0979022979736328
nom_v11,goal_023_t1_20260722_143438,goal_reached,1557,-14.973853392478746,-19.401454540269835,1.1157470307289026,1.5939203187441215,0.13808606294155426,0.061679856323566186,,False,11.392927646636963
nom_v11,goal_024_t1_20260722_143814,goal_reached,1839,-13.964164044546044,-19.0552853368559,2.5085009932518005,2.366952430942784,0.11473626971179988,0.06446107421577488,,False,0.8008167743682861
nom_v11,goal_025_t1_20260722_144346,goal_reached,1609,-16.100971492720237,-20.574786262085453,1.3419460129038787,1.666310879919264,0.008079552517091361,0.03977315579762347,,False,4.9884912967681885
nom_v11,goal_026_t1_20260722_165216,goal_reached,2408,-8.860681289483693,-18.550561901342828,12.749911133415443,13.40309403652002,0.028654485049833887,0.05098399931375601,,False,
nom_v11,goal_026_t2_20260722_165737,goal_reached,3249,-10.041575304569642,-19.596899666394332,11.255646643463088,12.705330226318967,0.08679593721144968,0.060004743963777724,,False,
