position_loss,velocity_loss,steering_loss,acceleration_loss,total_nll,object_distance_loss,traffic_light_loss,total_loss
-204.6581296831648,-164.9492428503304,-58.94230826547213,-29.486442250997477,-458.03612216462227,0.025793884251255113,0.0868672107888902,-457.9234619140625
-205.77714125018252,-164.5307142786519,-58.9603539345049,-29.52074895840939,-458.7889583029108,0.025750317253938344,0.08647675754218087,-458.67673138294634
-206.6389444891909,-165.43246436193354,-58.952308809274456,-30.011726224905235,-461.03544241171386,0.02571373294191754,0.08611117444955671,-460.92361792448526
-207.4119948152441,-165.08760546152465,-59.013447687261944,-30.125296245111482,-461.6383435971269,0.02573997543608288,0.08596657801454312,-461.5266367119049
-207.21855928890432,-165.5225850993599,-59.032552534917436,-30.234049693074926,-462.0077479472413,0.02577511724838958,0.08578830205391501,-461.8961834773839
-207.95740416339623,-165.89581593546168,-58.995696724389575,-30.45904315223575,-463.30795944071264,0.025709006105581547,0.08577012059473174,-463.196480153877
-208.3484785133433,-166.08066775122907,-59.05994513918677,-30.733206006225394,-464.2222964087751,0.025692891718303305,0.08557293984191812,-464.1110308400567
-209.02190182884905,-166.18317011657905,-59.04386932753328,-31.00489110738689,-465.2538311444339,0.025710060264091256,0.0853997427401513,-465.14272092064596
-208.93015990450374,-166.42201655973156,-59.06329547727591,-31.24160013169143,-465.6570698865849,0.025644677624431355,0.08512449905137036,-465.5462995392511
-209.85428483909536,-166.7027831746039,-59.088453120531696,-31.443385768902264,-467.0889070219711,0.02571429783402945,0.084745162349438,-466.9784480299905
-209.48192722403743,-166.9045679680655,-59.097232212530116,-31.540102516007945,-467.0238288095064,0.02570372487989913,0.08529467511678411,-466.9128303884346
-209.6346595265041,-166.63098981150213,-59.12916592274128,-31.779997608743354,-467.174812863549,0.02568909453338366,0.08486547892060235,-467.06425823080946
-211.0329803752008,-166.86086232788466,-59.098379568890245,-31.963947758124995,-468.95616972260757,0.02562835142944832,0.08446931458336542,-468.84607228311796
-210.57475152416765,-167.4617939411294,-59.15322386364328,-32.116209915493876,-469.3059790305259,0.025695976183236203,0.0843688629776518,-469.19591572128724
-211.03160214052764,-167.21224890022634,-59.1197452485747,-31.876124426583264,-469.23972090011074,0.025685112319909893,0.08405682790409368,-469.1299786433995
-211.81527786017207,-167.44408965779243,-59.169944394786036,-32.43291567864819,-470.86222863123055,0.025670531997892345,0.08385336990946922,-470.7527045609424
-212.05525459455924,-167.3302325667622,-59.15861212947287,-32.41690979067039,-470.961010038667,0.02572466531693007,0.08358419194492596,-470.85170073226976
-211.9740927627896,-167.71690501750814,-59.19358296854845,-32.694450800292586,-471.57903054495836,0.025671241944220578,0.0835130680294423,-471.4698480623905
-212.98666296272634,-167.56252448061173,-59.20469948361596,-32.69290734080139,-472.4467941711996,0.025665175343785332,0.08357401087740872,-472.33755502671096
-212.97826749142087,-167.6160856823312,-59.16654761483736,-32.99285942743129,-472.75376079238464,0.025713794351181138,0.08337868808121696,-472.6446692921291
-213.48420330297168,-167.96315953144776,-59.19569161673573,-32.94058198423772,-473.5836372732002,0.025694606465946106,0.08326870140349754,-473.47467497353244
-213.03264986317478,-168.11126452294465,-59.25559128853391,-33.171036158766704,-473.57054180965247,0.025679568623735154,0.0832006525816947,-473.461660890193
-214.0413157620534,-168.156534783194,-59.2527255833706,-33.264564950889515,-474.7151408448026,0.02569624277940049,0.08296306442898753,-474.60648029838393
-213.54658498793748,-168.4489618224147,-59.23407752491603,-33.4974437487831,-474.7270680840513,0.025685139656113316,0.08321251253658365,-474.61816995686087
-213.4300198183624,-168.59720238421193,-59.272021284727295,-33.4217154482072,-474.72095876913573,0.02570653127686257,0.08260778509474989,-474.6126442787432
-215.21955534082335,-168.46989540741822,-59.26476174945772,-33.66578665997752,-476.61999853971963,0.025736812519553665,0.08238820917324113,-476.5118716231016
-214.74969263760102,-168.62924065990984,-59.27453732119171,-33.7468019467648,-476.4002730229933,0.02574064676588941,0.08261904229534749,-476.2919131840501
-214.9749959309896,-168.75370408292872,-59.291023801048965,-33.943187773042006,-476.9629114454038,0.02566190443445589,0.08234703868070495,-476.8549027962848
-214.75697721202053,-168.81465552974714,-59.32794303537529,-33.806789285297334,-476.7063650921498,0.025713478949071833,0.08204138111845355,-476.5986100906895
-214.7317224425319,-169.03982572466413,-59.299429147785695,-33.98303240481938,-477.0540100287797,0.025688162967098464,0.08196915001419845,-476.9463533300477
-215.10212293963565,-169.13202574542748,-59.32147972606053,-34.26051296103409,-477.8161416692526,0.02573455890460735,0.08177947487415183,-477.70862795630717
-216.1459896289671,-169.07684307157808,-59.333862732504016,-34.364156384334386,-478.9208516628943,0.025711095378359902,0.08205373127976683,-478.81308753468164
-215.77384140632606,-169.28824075954353,-59.35663006981585,-34.15035543709158,-478.5690675539391,0.025746791742486747,0.08186336685656759,-478.4614583903755
-216.38139077064776,-169.33335182451384,-59.340579237893365,-34.399608736840364,-479.45493010048557,0.025731508031116096,0.0819376596827002,-479.3472601869767
-216.8326022899782,-169.47880482896466,-59.403258279105216,-34.51744856789848,-480.23211280133495,0.025763759470756552,0.08209236597532052,-480.12425626475493
-215.8125809523918,-169.63641233830438,-59.428628654123465,-34.56320196965773,-479.44082337376483,0.025726132251531163,0.08150298108935727,-479.33359420633764
-215.90363076468495,-169.82394927313024,-59.40130631871684,-34.70511970044668,-479.83400538554446,0.0257459909327305,0.08154323232879519,-479.72671613366435
