position_loss,velocity_loss,steering_loss,acceleration_loss,traffic_light_state_loss,total_nll,position_l2_raw,velocity_l1_raw,traffic_light_loss,traffic_light_discrepancy_loss,total_loss
-2.0643514361297877,-3.7686030764328806,-0.6991754517220614,-2.2899318544488203,-0.9235184983203285,-9.745580338595206,0.00994316549612242,0.020388061246066763,0.058012169024400546,0.0366859627070657,-9.650882195589835
-2.065488376533776,-3.7386702888890317,-0.6824775902848494,-2.28128464765716,-0.9240441217757108,-9.69196498268529,0.00988722455344702,0.020280541616835093,0.05690189750309576,0.036125202124056066,-9.598937914664285
-2.043467061979729,-3.705129981459233,-0.6620917201042176,-2.2736809546487375,-0.9176868051813359,-9.602056489910996,0.009810007249184868,0.019879055500291943,0.055913809386261726,0.035308615706468885,-9.510834098280522
-2.034865654978836,-3.6764746649223463,-0.653149405906075,-2.2574514706929523,-0.9135426797364887,-9.53548384549325,0.00974518404783387,0.01956679399468397,0.05552873500345046,0.03507710516191365,-9.444878012673897
-2.026636919640658,-3.642420814748396,-0.6352192954013222,-2.246736662429676,-0.9100621478599414,-9.461075826276813,0.009699997642453302,0.0194398485516247,0.05488297510565373,0.034636859138283814,-9.371555977536921
-2.0240753370418885,-3.6156209334992524,-0.6341978211151926,-2.2429304859094454,-0.9104514814259713,-9.427276039123536,0.009685926439992169,0.019222288180077284,0.05418067907816485,0.03409896260290815,-9.338996365195827
-2.003980066483481,-3.585988492296453,-0.6169741898252253,-2.2347920342495566,-0.9047724564870199,-9.346507226375111,0.009570836841145106,0.01912260999282201,0.0537088403053451,0.03388654199477873,-9.258911848904793
-2.0150788654360854,-3.5678503203810306,-0.6100491948295058,-2.216590011328982,-0.9083171829842684,-9.317885552791127,0.009629875578378376,0.01902513305346171,0.05274106197451291,0.033381651132776025,-9.231762835853978
-2.000697364305195,-3.5437530040740968,-0.6020307538802163,-2.2148433024423166,-0.9026272395200897,-9.263951662967079,0.009564969335731708,0.0187114128548848,0.05235562759794687,0.03319251966058162,-9.178403541498017
-1.9966037415621574,-3.512294646313316,-0.5891705142824273,-2.203023596813804,-0.896705520780463,-9.197798046312833,0.0095248971591916,0.018544075736089755,0.051881247562797446,0.03259826232597493,-9.113318550377562
-2.0029257669783473,-3.499331940266124,-0.5765948949152964,-2.1962629820171156,-0.8940477751848991,-9.169163359257213,0.009584970818015567,0.018581103680557327,0.0513416178785918,0.03224658866069819,-9.085575120490894
-1.9874684212500588,-3.4842646130344326,-0.5737667438231017,-2.1860934717613354,-0.8915216841195759,-9.123114910460355,0.009533935174215259,0.01839333860236302,0.050585666089727165,0.03192570666341405,-9.040603544000994
-1.97045364338055,-3.4284793527502764,-0.5614272518116131,-2.180689585418032,-0.8874488882851183,-9.028498739945261,0.009373724893585109,0.017983790000149033,0.04991371150602374,0.031567240467197014,-8.947017810219213
-1.9761842016588178,-3.4149265255844385,-0.555813017016963,-2.1693939188070464,-0.8852265077724791,-9.001544152644643,0.009458709207543155,0.01784529095156151,0.04935777183426054,0.031331102719955276,-8.920855271188836
-1.965647085925989,-3.3980645966111567,-0.5487103769653722,-2.162347081251312,-0.8818783226766085,-8.9566474814164,0.00936133780827125,0.017797492274589707,0.049266067905384195,0.03091420667866866,-8.876467202839098
-1.911351007327699,-3.3319987698605185,-0.5394426891678258,-2.1319873517019707,-0.8793009049014041,-8.79408068071332,0.009016639541573168,0.017316056497133615,0.048437980758516415,0.030513414413782587,-8.715129310206363
-1.906721850027118,-3.3139336928986665,-0.5329962093579141,-2.1320965281704014,-0.8773477479031212,-8.763096043101529,0.009027294389772834,0.01719267408510572,0.04808681807235667,0.030280009699625927,-8.684729253200063
-1.9016048054946095,-3.2801409805030155,-0.5271492274183976,-2.125288979212443,-0.8723894604465418,-8.706573439480966,0.009022690901500091,0.016972671063584195,0.047766937910203346,0.03012798582775551,-8.628678520938806
-1.8936769577494839,-3.2844287236531575,-0.5239211838496359,-2.123019792740805,-0.8721580181205482,-8.697204683538068,0.008977474321268107,0.01704270336450192,0.04742592876417595,0.030045979110556738,-8.619732776441072
-1.899134103457133,-3.2681782404581705,-0.521285827536332,-2.11363546179052,-0.868739326376664,-8.670972917790998,0.009007297750366362,0.01698321223324328,0.047538740632303976,0.030145783875987195,-8.593288388168602
-1.8877341228618956,-3.2672972076817564,-0.5220637298466867,-2.112826196352641,-0.8685044083678931,-8.658425640641598,0.008913723524790584,0.01683077723637485,0.04715031039035111,0.0297811591180793,-8.581494202530175
